"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"DBLg11_D5_TM284S2var01",0,2.139,0,0,0,0,20.018,14.132,0,0,4.924,0,0,56.075,4,5.45,0,299.689,14.726,0,15.714,0,11.39,0,0,1.486,0,0,0,0,8.47,83.815
"DBLg11_D6_DD2var32",2.474,8.476,93.251,16.363,0,0,18.075,82.657,0,4.012,31.117,5.967,0,115.829,13.915,20.909,8.177,43.015,173.888,36.252,1.137,13.471,12.054,0.998,6.001,45.752,0,31.028,1.099,9.834,6.32,10.031
"DBLg11_D6_DD2var52",0,9.357,0,23.893,1.286,3.178,8.352,82.213,1.07,1.09,6.978,6.917,0,25.358,162.295,0,18.337,0,73.683,15.934,1026.002,9.842,5.814,0,33.973,57.763,0,795.617,1.914,0.995,0,2.275
"DBLg11_D6_IGHvar26",0,0,0,5.101,2.046,1,11.723,6.142,1,0,19.481,0,0,44.097,29.188,0,0,0,8.573,8.889,25.887,3.003,7.003,0,2,0,2,60.365,52.222,0.997,43.13,4.096
"DBLg11_D6_IT4var22",13.933,93.164,11.163,18.843,13.168,0,20.947,87.791,0,6.907,30.658,53.872,0,65.128,5.983,0,0,16.642,121.27,26.343,0,1.419,10.638,0,0,0,0,0,2.174,5.107,0,1.029
"DBLg11_D6_PFD0020c",2.001,72.589,30.358,17.756,22.445,7.094,95.209,0,0,4.702,70.754,1,0,26.367,8.383,21,9.003,12.538,143.149,891.578,283.518,9.896,48.606,6.619,1,501.723,0,5.29,0,6.75,34.034,60.51
"DBLg11_D7_DD2var21",2.628,25.452,144.803,19.097,5.213,2.096,7.244,12.944,1,1.192,12.049,0,1.983,41.492,0,23.05,65.031,0,10.12,35.673,9.868,2.27,3.564,39.173,41.98,0,6.649,83.764,3.484,1,14.437,7.003
"DBLg11_D7_DD2var48",5,72.034,115.926,2.684,9.995,33.593,80.591,130.171,0,12.893,5.441,616.188,0,0,7.424,24.253,28.066,0,45,4.885,16.313,13.075,42.976,0,0,7.006,1,21.99,109.569,4.539,7.284,463.502
"DBLg12_D4_DD2var22",0,182.206,49.478,7.382,1.048,12.551,38.531,347.589,1.242,1,53.455,2.001,3,4.263,0,0,4.325,5.065,0,0,9.861,1.1,22.154,303.499,0,245.008,0,0,7.002,1.007,42.867,0
"DBLg12_D4_HB3var02",3.005,15.536,25.882,6.144,0,2.099,32.327,204.522,0,0.944,11.7,0,3,69.364,32.887,31.013,0,1.791,80.806,113.652,372.028,4.374,17.212,0,0,377.88,2.158,178.08,2.943,0,3.034,35.484
"DBLg12_D4_HB3var05",4.672,104.706,117.623,27.162,0,11.965,105.092,2.83,0,3.231,0,0,0,0,6.304,0,14.112,2.193,15.586,55.407,134.738,2.922,9.161,0,0,0,0,0,0,0,246.266,0
"DBLg12_D4_PF11_0008",3.356,63.577,63.322,4.903,42.22,0,89.078,45.111,5.758,6.323,34.346,0,0,53.669,1.057,0,17.119,65.192,16.498,163.331,692.988,7.717,12.682,127.823,1.239,3.704,0,651.743,19.475,13.503,297.621,238.573
"DBLg12_D4_PFCLINvar69",0,26.687,0,9.867,202.12,5.78,15.264,4.98,1,0,5.063,8,0,59.119,2.55,1,3.03,8.656,29.305,42.309,293.684,17.141,1,0,0,690.128,5,70.276,1.002,0,51.59,0
"DBLg12_D5_DD2var04",0,40.385,33.239,3.101,1.028,0,6.002,15.098,0,0,2.063,2,0,35.731,1.982,0,236.357,3.093,80.58,184.137,80.027,0,15.921,0,0,6.584,1.273,183.998,2.994,0,79.282,0
"DBLg12_D5_HB3var03",0,0,0,0,69.676,0,0,0,0,0,38.517,5,0,24.377,0,5.032,0,0,0,0,0,0,0,297.058,2.617,0,3.731,78.577,0,111.895,0,47.448
"DBLg12_D5_IT4var02",2,16.199,113.005,10.005,32.163,3.164,25.217,250.352,0,0,25.446,0,2,5.1,45.168,0,4.995,0,0,153.793,713.115,10.159,18.613,0,9.405,0,2.726,162.839,253.438,141.037,27.745,19.071
"DBLg12_D5_PF13_0003",5.001,21.378,359.433,17.375,93.713,0,12.757,11.003,2,0,8.586,3.255,4,15.414,3.96,0,2,0,4.922,68.468,286.817,0.97,0,385,28,0,0,1.242,0,124.633,86.206,40.384
"DBLg13_D5_AAQ73928",2.595,125.022,98.716,4.293,9.442,7.596,13.258,1.204,0,1.094,28.359,0,0.998,47.025,43.092,1,1.02,14.418,189.014,200.377,481.058,2.288,41.883,1.082,41.099,700.274,1.059,48.441,1.035,6.02,25.538,0
"DBLg13_D5_DD2var03",10.055,10.147,0,12.467,10.648,13.18,15.804,1,2.006,0,21.501,0,0,75.886,3.199,0,5.195,27.522,9.258,171.989,187.09,6.371,21.71,1.006,0,67.553,0,15.777,3.817,2.324,27.593,0
"DBLg13_D5_DD2var50",0,0,1698.91,0,0,0,3.324,0,3,0,0,0,0,0,2,0,0,65.2,13.152,0,0,0,37.755,0,0,135.274,0,9.048,99.909,0,922.525,0
"DBLg13_D5_HB3var01",2.973,20.19,63.19,1.965,7.229,0,27.444,0,8.367,0,10.427,10.262,0,19.031,10.078,12.979,17.035,0,177.362,0,0,17.495,0,2.008,0,287.456,2.699,335.561,4.311,1.001,488.469,0
"DBLg13_D5_HB3var21",2.977,177.059,669.828,24.131,17.23,1.025,23.854,9.661,0,3.985,45.782,3.948,5.82,3.219,1,174.364,16.419,0,4.463,0.656,0,4.633,27.092,139.405,22.007,175.829,0,57.222,30.65,4.335,77.198,8.167
"DBLg13_D5_MAL6P1.4",0,370.359,202.789,9.528,15.008,0,5.057,0,0,25.115,2,0,0,48.614,0,329.058,0,52.633,69.631,15,58,4.996,22.457,0,0,326.611,0,67.892,120,7.505,293.965,30.679
"DBLg13_D5_PFCLINvar06",2,32,261.609,18.853,34.997,21,9.081,226.516,5,5,15.785,20.158,0,128.004,0,35.997,11,129.836,33.989,19.563,52.736,12.378,17,1.002,0,0,0,10.485,5.276,65,287.001,1862.907
"DBLg13_D5_RAJ116var33",5.836,45.666,2.943,5.461,4.737,22,8.558,4.134,0,3.131,18.009,1,0,1,0,0,18.003,14.108,33.138,12.997,48.879,0,95.754,1.104,0,153.012,0,168.567,622.143,3.038,204.259,140.614
"DBLg13_D6_PFD1235w",21.314,106.653,0,30.624,18.665,2.001,38.12,14.466,5.584,0,4.854,0,112.048,295.715,5.49,0,8.808,0,116.905,110.633,92.663,7.808,9.473,0.993,1.987,85.713,6.003,133.923,4.114,0,104.794,37.477
"DBLg13_D7_PFCLINvar74",0,5.277,63.265,2,16.67,10,8.989,1.001,0,11.438,6.085,1,0,4,4,4,9.522,0,1757.206,0,32.43,1,1.033,0,1.213,2.012,0,0,1,2.772,0,969.442
"DBLg14_D4_PFCLINvar67",0,9.883,149.293,12.507,7.081,0,4.52,36.12,0,7.654,45.841,0,1,14.195,17.58,8.996,4.174,11.702,6.981,18.632,306.83,5.343,1.82,13.367,4.595,43.735,0,1.205,7.939,3.523,0,35.178
"DBLg14_D4_RAJ116var07",5.248,188.468,49.836,29.039,27.923,0,81.995,817.745,2.306,10.691,29.338,1.02,0,68.761,37.139,0,38.201,33.571,183.914,152.248,196.754,1.618,5.265,3,37.274,10.771,1.361,73.362,10.131,0,8.709,23.117
